运动户外>健身训练>美腰机/挺腰器,1318>1463>s8151,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>美腰机/挺腰器,50010728>50038418>50038433
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>田径运动器材>跳高架/跳高杆,50010728>50038599>50038605
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>田径运动器材>链球,50010728>50038599>50038609
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>田径运动器材>铁饼/铁饼架,50010728>50038599>50038607
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>田径运动器材>田径场地辅助用具,50010728>50038599>50038612
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>田径运动器材>海绵垫/体操垫,50010728>50038599>50038610
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>其他运动用品>更多慢跑装备,50010728>50490001>50046279
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>田径运动器材>裁判用具,50010728>50038599>50038611
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>田径运动器材>接力棒,50010728>50038599>50038604
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>田径运动器材>跨栏架,50010728>50038599>50038603
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>其他运动用品>计步器/计时器,50010728>50490001>50046290
运动户外>健身训练>其他器械,1318>1463>12113,运动用品/瑜伽/球类/健身>健身器材>举重床/卧推器,50043669>55818022>52980005
运动户外>健身训练>其他器械,1318>1463>12113,运动用品/瑜伽/球类/健身>健身器材>更多中小型器械,50043669>55818022>50104437
运动户外>健身训练>其他器械,1318>1463>12113,运动用品/瑜伽/球类/健身>健身器材>指压板,50043669>55818022>55858022
运动户外>健身训练>其他器械,1318>1463>12113,运动用品/瑜伽/球类/健身>健身器材>扭腰盘,50043669>55818022>55832038
运动户外>健身训练>其他器械,1318>1463>12113,运动用品/瑜伽/球类/健身>健身器材>挺腰器,50043669>55818022>52938004
运动户外>健身训练>其他器械,1318>1463>12113,运动用品/瑜伽/球类/健身>健身器材>动感单车,50043669>55818022>55864013
运动户外>健身训练>其他器械,1318>1463>12113,运动用品/瑜伽/球类/健身>健身器材>俯卧撑架,50043669>55818022>55876027
运动户外>健身训练>其他器械,1318>1463>12113,运动用品/瑜伽/球类/健身>健身器材>娃娃跳/弹跳器,50043669>55818022>55814031
运动户外>健身训练>其他器械,1318>1463>12113,运动用品/瑜伽/球类/健身>健身器材>Decathlon/迪卡侬,50043669>55818022>56222013
运动户外>健身训练>其他器械,1318>1463>12113,运动用品/瑜伽/球类/健身>健身器材>蹦蹦床,50043669>55818022>50104435
运动户外>健身训练>其他器械,1318>1463>12113,运动用品/瑜伽/球类/健身>健身器材>拉力绳/拉力器,50043669>55818022>55850044
运动户外>健身训练>其他器械,1318>1463>12113,运动用品/瑜伽/球类/健身>健身器材>足底按摩垫,50043669>55818022>55862039
运动户外>健身训练>其他器械,1318>1463>12113,运动用品/瑜伽/球类/健身>健身器材>呼啦圈,50043669>55818022>50104441
运动户外>健身训练>其他器械,1318>1463>12113,运动用品/瑜伽/球类/健身>健身器材>杠铃,50043669>55818022>55806026
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>更多大型健身器械,50010728>50038445>50038462
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>大型健身器械配件区,50010728>50038445>50038501
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>更多中小型健身器材,50010728>50038418>50038442
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>中小型健身器材配件区,50010728>50038418>50038500
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>跳绳/呼啦圈/民间运动>健身球/保健球,50010728>50412025>50046596
运动户外>健身训练>其他器械,1318>1463>12113,玩具/童车/益智/积木/模型>户外/娱乐/运动>呼啦圈,50005998>2512>56348002
运动户外>健身训练>其他器械,1318>1463>12113,玩具/童车/益智/积木/模型>户外/娱乐/运动>沙包,50005998>2512>56352001
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>负重装备,50010728>50038418>50038439
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>罗马凳,50010728>50038445>50049211
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>登山机,50010728>50038445>50046595
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>举重床/卧推器,50010728>50038445>50038453
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>动感单车,50010728>50038445>50049191
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>骑马机,50010728>50038445>50038456
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>跳跳床/蹦蹦床,50010728>50038445>50038452
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>大腿伸展机,50010728>50038445>50049209
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>跑步机/大型健身器械>二头肌架,50010728>50038445>50049200
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>呼啦圈,50010728>50038418>50038431
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>颈椎牵引器,50010728>50038418>50046584
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>体重秤/健康秤,50010728>50038418>50046589
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>跳跳环/闪光跳,50010728>50038418>50044675
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>娃娃跳/弹跳器,50010728>50038418>50045314
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>扭腰盘,50010728>50038418>50038432
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>跳跳球/蹦蹦球,50010728>50038418>50038426
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>计时器/计步器,50010728>50038418>50038441
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>吊环,50010728>50038418>50044406
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>足底按摩垫,50010728>50038418>50038440
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>飞镖/桌上足球/室内休闲>镖翼/尾翼,50010728>50040125>50040128
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>风筝>风筝线,50010728>50040150>50040152
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>风筝>风筝,50010728>50040150>50040151
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>飞镖/桌上足球/室内休闲>桌上冰球,50010728>50040125>50040186
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>飞镖/桌上足球/室内休闲>沙狐球台,50010728>50040125>50040136
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>F1/赛车>赛车鞋,50010728>50040544>50040546
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>风筝>更多风筝配件,50010728>50040150>50040154
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>飞镖/桌上足球/室内休闲>飞镖盘/飞镖靶,50010728>50040125>50040126
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>风筝>绕线板,50010728>50040150>50040153
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>F1/赛车>赛车帽,50010728>50040544>50040547
运动户外>健身训练>其他器械,1318>1463>12113,运动用品/瑜伽/球类/健身>女子减肥>呼啦圈,50043669>53088001>53102002
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>飞镖/桌上足球/室内休闲>更多飞镖配件,50010728>50040125>50040132
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>飞镖/桌上足球/室内休闲>悠悠/溜溜球,50010728>50040125>50064684
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>飞镖/桌上足球/室内休闲>飞镖杆,50010728>50040125>50040129
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>飞镖/桌上足球/室内休闲>飞镖,50010728>50040125>50040127
运动户外>健身训练>其他器械,1318>1463>12113,运动/瑜伽/健身/球迷用品>F1/赛车>赛车服,50010728>50040544>50040545
运动户外>健身训练>其他器械,1318>1463>12113,玩具/童车/益智/积木/模型>游乐设备/大型设施>软体组合器材,50005998>50074248>50094847
服饰内衣>男装>棉衣,1315>1342>s8493,精品男装>时尚馆>棉衣,50025174>53384001>53442001
礼品箱包>潮流女包>卡包/零钱包,1672>2575>12070,玩具/模型/动漫/早教/益智>儿童箱包>零钱包,50033500>50024676>50024791
礼品箱包>潮流女包>卡包/零钱包,1672>2575>12070,玩具/童车/益智/积木/模型>儿童书包/箱包>零钱包,50005998>1644>50023707
母婴>童车童床>滑板车,1319>1528>12192,玩具/童车/益智/积木/模型>童车/滑板车/轮滑>滑板车,50005998>211111>50006079
母婴>童车童床>滑板车,1319>1528>12192,运动用品/瑜伽/球类/健身>轮滑/滑板运动>滑板车,50043669>50106606>50106612
母婴>童车童床>滑板车,1319>1528>12192,运动/瑜伽/健身/球迷用品>轮滑/滑板/极限运动>滑板车,50010728>50037900>50037904
母婴>童车童床>滑板车,1319>1528>12192,玩具/童车/益智/积木/模型>童车/滑板车/轮滑>滑板/活力板,50005998>211111>50031686
母婴>童车童床>滑板车,1319>1528>12192,玩具/童车/益智/积木/模型>童车/滑板车/轮滑>踏行车/滑行学步车,50005998>211111>50074250
母婴>童车童床>滑板车,1319>1528>12192,玩具/童车/益智/积木/模型>童车/滑板车/轮滑>头盔/安全护具,50005998>211111>50074566
母婴>童车童床>滑板车,1319>1528>12192,玩具/童车/益智/积木/模型>童车/滑板车/轮滑>配件及其它,50005998>211111>50006083
医药保健>传统滋补>枸杞,9192>9195>12612,参茸滋补>枸杞及其制品>枸杞,50008825>50008048>50033282
医药保健>传统滋补>枸杞,9192>9195>12612,保健滋补医药器械>参茸滋补>枸杞及其制品,50106154>57368001>57368002
医药保健>传统滋补>枸杞,9192>9195>12612,参茸滋补>枸杞及其制品>枸杞制品,50008825>50008048>50033283
美妆个护>香水彩妆>修颜,1316>1387>s2252,化妆品导购条>修颜/高光/阴影粉导购条>国货,50708001>51218028>51224053
美妆个护>香水彩妆>修颜,1316>1387>s2252,化妆品导购条>修颜/高光/阴影粉导购条>大众,50708001>51218028>51236030
服饰内衣>女装>正装裤,1315>1343>9718,天猫国际>女装>西装裤/正装裤,52792006>55898015>55854013
服饰内衣>女装>正装裤,1315>1343>9718,品牌女装>女裤>西装裤,50025135>54848002>54796003
服饰内衣>女装>正装裤,1315>1343>9718,品牌女装>2016当季新品>西装裤,50025135>51260020>54814002
服饰内衣>女装>正装裤,1315>1343>9718,品牌女装>商场同款>专柜西装裤,50025135>53596001>53606001
鞋靴>流行男鞋>拖鞋/人字拖,11729>11730>6911,天猫国际>男鞋>拖鞋,52792006>55816014>55868024
数码>智能设备>智能手环,652>12345>12347,天猫超市>手机/数码>智能设备,50514008>57010004>57280005
美妆个护>香水彩妆>遮瑕笔,1316>1387>s9822,化妆品导购条>遮瑕笔/膏导购条>国货,50708001>51218027>51222038
美妆个护>香水彩妆>遮瑕笔,1316>1387>s9822,化妆品导购条>遮瑕笔/膏导购条>大众,50708001>51218027>51220036
运动户外>游泳用品>游泳圈,1318>12154>13798,玩具/模型/动漫/早教/益智>游泳/戏水玩具>游泳圈,50033500>50098331>50098334
运动户外>游泳用品>游泳圈,1318>12154>13798,玩具/童车/益智/积木/模型>游泳池/泳衣/戏水玩具>游泳圈,50005998>50000935>50074610
宠物生活>宠物主粮>其他,6994>6995>s1539,宠物食品及用品>其他宠物相关>其它宠物粮食,50034368>50034381>50034499
美妆个护>香水彩妆>腮红,1316>1387>1421,天猫国际>彩妆>腮红/胭脂,52792006>55920002>55980001
美妆个护>香水彩妆>腮红,1316>1387>1421,化妆品导购条>腮红/胭脂导购条>大众,50708001>51226018>51222030
美妆个护>香水彩妆>腮红,1316>1387>1421,化妆品导购条>腮红/胭脂导购条>国货,50708001>51226018>51232027
运动户外>垂钓用品>钓竿,1318>12147>12148,户外鞋服/装备>垂钓用品>钓竿,50022787>50031399>50105950
运动户外>垂钓用品>钓竿,1318>12147>12148,户外运动用品>钓鱼用品>鱼竿钓竿,2203>50100136>50032388
美妆个护>洗发护发>染发,1316>1386>11924,导航平台>特需保健>染发膏,50041194>52496004>52590006
厨具>茶具/咖啡具>茶杯,6196>11143>11149,厨房/餐饮用具>茶具>茶杯,50036640>50026011>50026206
厨具>茶具/咖啡具>茶杯,6196>11143>11149,餐饮具>茶具>茶杯,55086007>55136006>55808002
医药保健>营养成分>螺旋藻,9192>9194>9222,保健滋补医药器械>营养健康>螺旋藻,50106154>57334300>57368150
食品饮料>茗茶>乌龙茶,1320>12202>12208,各地茗茶>乌龙茶/铁观音/大红袍>其他乌龙茶,50099890>50072577>56580001
食品饮料>茗茶>乌龙茶,1320>12202>12208,各地茗茶>乌龙茶/铁观音/大红袍>黑乌龙,50099890>50072577>50099954
食品饮料>茗茶>乌龙茶,1320>12202>12208,各地茗茶>乌龙茶/铁观音/大红袍>冻顶乌龙,50099890>50072577>50072583
母婴>尿裤湿巾>婴儿湿巾,1319>1525>1548,天猫国际>纸尿裤/拉拉裤/尿片/湿巾>湿巾,52792006>56612042>56074008
母婴>尿裤湿巾>婴儿湿巾,1319>1525>1548,天猫超市>纸制品/卫生巾/成人尿裤>湿巾,50514008>50516008>50506026
家用电器>厨房小电>榨汁机/原汁机,737>752>13116,导航平台>数码家电>榨汁机,50041194>52512006>52542004
美妆个护>洗发护发>脸部护理,1316>1386>1412,孕妇装/孕妈用品专区>面部护理>孕产妇牙膏,50029253>50340010>50290018
美妆个护>洗发护发>脸部护理,1316>1386>1412,天猫国际>其他美体美容>胸部护理,52792006>55928001>55942003
美妆个护>洗发护发>脸部护理,1316>1386>1412,化妆品导购条>唇部护理>大众,50708001>51226003>51220002
美妆个护>洗发护发>脸部护理,1316>1386>1412,化妆品导购条>唇部护理>国货,50708001>51226003>51234001
美妆个护>洗发护发>脸部护理,1316>1386>1412,化妆品导购条>唇部护理>高端,50708001>51226003>51212005
美妆个护>洗发护发>脸部护理,1316>1386>1412,美容护肤/美体/精油>男士护理>须后水,1801>50011988>50076505
美妆个护>洗发护发>脸部护理,1316>1386>1412,美容护肤/美体/精油>男士护理>剃须膏/啫喱,1801>50011988>50076504
美妆个护>洗发护发>脸部护理,1316>1386>1412,美容护肤/美体/精油>精油芳疗>乳液/面霜,1801>50011992>50027949
美妆个护>洗发护发>脸部护理,1316>1386>1412,天猫超市>进口商品>进口面部洗护,50514008>51454011>51462014
美妆个护>洗发护发>脸部护理,1316>1386>1412,天猫超市>个人洗护/口腔护理>男士剃须,50514008>50516007>50502009
家具>卧室家具>梳妆台/凳,9847>9848>9868,住宅家具/办公家具>卧室>梳妆台/凳,50030787>50096374>50096385
家具>卧室家具>梳妆台/凳,9847>9848>9868,住宅家具/办公家具>桌类>梳妆台/桌,50030787>50030801>50036137
食品饮料>饮料冲调>成人奶粉,1320>1585>12201,天猫超市>饮料/酒水/冲饮>成人奶粉,50514008>50506009>50506028
食品饮料>饮料冲调>成人奶粉,1320>1585>12201,茶/咖啡/冲饮/饮料>乳制品>酸奶粉,50103280>51148014>51148015
食品饮料>饮料冲调>成人奶粉,1320>1585>12201,冲饮>乳制品>中老年/成人奶粉,54980001>55052003>50072645
运动户外>户外装备>旅行装备,1318>1462>2691,户外运动用品>户外箱包>洗漱包,2203>50031729>50033930
运动户外>户外装备>旅行装备,1318>1462>2691,户外运动用品>户外服装>内衣内裤,2203>50031727>50452023
运动户外>户外装备>旅行装备,1318>1462>2691,户外鞋服/装备>洗漱清洁/护理用品>其他,50022787>55822018>55852020
运动户外>户外装备>旅行装备,1318>1462>2691,户外运动用品>辅助用品>充气枕头,2203>50450032>50032303
食品饮料>粮油调味>调味品,1320>1584>2677,粮油调味>调味品>调味油,54986001>50099300>55102011
食品饮料>粮油调味>调味品,1320>1584>2677,粮油调味>调味品>花椒/八角,54986001>50099300>50100305
食品饮料>粮油调味>调味品,1320>1584>2677,粮油调味>调味品>寿司料理,54986001>50099300>50072155
食品饮料>粮油调味>调味品,1320>1584>2677,粮油调味>调味品>醋,54986001>50099300>50106074
食品饮料>粮油调味>调味品,1320>1584>2677,粮油调味>调味品>果酱沙拉酱,54986001>50099300>50072144
食品饮料>粮油调味>调味品,1320>1584>2677,粮油调味>调味品>海鲜酱,54986001>50099300>50072137
食品饮料>粮油调味>调味品,1320>1584>2677,粮油调味>调味品>烧烤调料,54986001>50099300>50072143
食品饮料>粮油调味>调味品,1320>1584>2677,粮油调味>调味品>火锅调料,54986001>50099300>50072142
食品饮料>粮油调味>调味品,1320>1584>2677,粮油调味>调味品>酱油鸡精糖,54986001>50099300>50100304
食品饮料>粮油调味>调味品,1320>1584>2677,粮油调味>调味品>其他调料,54986001>50099300>50072158
食品饮料>粮油调味>调味品,1320>1584>2677,粮油调味>调味品>辣椒/咖喱/番茄酱,54986001>50099300>50072140
食品饮料>粮油调味>调味品,1320>1584>2677,奶粉/辅食/营养品>调味品>其它调味品,35>50044074>50250002
食品饮料>粮油调味>调味品,1320>1584>2677,奶粉/辅食/营养品>调味品>调味素,35>50044074>50254001
食品饮料>粮油调味>调味品,1320>1584>2677,粮油米面/土特产/调味品>调味品/果酱/沙拉>其它调味品,50035978>50009821>50009835
食品饮料>粮油调味>调味品,1320>1584>2677,天猫超市>粮油/米面/速食>调味品,50514008>50514009>50514029
食品饮料>粮油调味>调味品,1320>1584>2677,粮油调味>干货/特产>菌菇类,54986001>50100166>50072175
食品饮料>粮油调味>调味品,1320>1584>2677,奶粉/辅食/营养品>调味品>拌饭料,35>50044074>50238002
食品饮料>粮油调味>调味品,1320>1584>2677,奶粉/辅食/营养品>调味品>酱油,35>50044074>50248001
食品饮料>粮油调味>调味品,1320>1584>2677,粮油米面/土特产/调味品>调味品/果酱/沙拉>酱菜,50035978>50009821>50038228
食品饮料>粮油调味>调味品,1320>1584>2677,粮油米面/土特产/调味品>调味品/果酱/沙拉>火锅调料,50035978>50009821>50009822
食品饮料>粮油调味>调味品,1320>1584>2677,粮油米面/土特产/调味品>调味品/果酱/沙拉>酱类调料,50035978>50009821>50009823
食品饮料>粮油调味>调味品,1320>1584>2677,粮油米面/土特产/调味品>调味品/果酱/沙拉>烧烤调料,50035978>50009821>50009826
食品饮料>粮油调味>调味品,1320>1584>2677,粮油米面/土特产/调味品>调味品/果酱/沙拉>寿司料理,50035978>50009821>50009824
食品饮料>粮油调味>调味品,1320>1584>2677,粮油米面/土特产/调味品>调味品/果酱/沙拉>辣椒类调料,50035978>50009821>50009827
食品饮料>粮油调味>调味品,1320>1584>2677,粮油米面/土特产/调味品>调味品/果酱/沙拉>粉类调料,50035978>50009821>50009825
食品饮料>粮油调味>调味品,1320>1584>2677,天猫国际>粮油米面/南北干货/调味品>调味品/果酱/沙拉,52792006>56330004>56314004
食品饮料>粮油调味>调味品,1320>1584>2677,天猫超市>进口商品>进口厨房调料,50514008>51454011>51452022
运动户外>户外鞋服>登山鞋,1318>2628>12134,户外运动用品>户外鞋>登山鞋,2203>50031728>50043790
运动户外>户外鞋服>登山鞋,1318>2628>12134,户外鞋服/装备>登山鞋>男子登山鞋,50022787>53170002>56184001
运动户外>户外鞋服>登山鞋,1318>2628>12134,户外鞋服/装备>登山鞋>女子登山鞋,50022787>53170002>56182002
运动户外>户外鞋服>登山鞋,1318>2628>12134,运动鞋/休闲鞋>户外鞋/登山鞋/工装鞋>登山鞋,50468016>50460023>50464022
运动户外>户外鞋服>登山鞋,1318>2628>12134,户外鞋服/装备>鞋靴类>登山鞋,50022787>50031407>50031426
运动户外>户外鞋服>登山鞋,1318>2628>12134,户外鞋服/装备>登山鞋>TIMBERLAND/添柏岚,50022787>53170002>56142004
运动户外>户外鞋服>登山鞋,1318>2628>12134,户外鞋服/装备>登山鞋>Decathlon/迪卡侬,50022787>53170002>56188001
鞋靴>时尚女鞋>单鞋,11729>11731>6914,时尚女鞋>国内知名>尖头单鞋,50025829>53990011>54424003
鞋靴>时尚女鞋>单鞋,11729>11731>6914,时尚女鞋>国际潮牌>平跟单鞋,50025829>54012016>54398002
鞋靴>时尚女鞋>单鞋,11729>11731>6914,时尚女鞋>国内知名>平底单鞋,50025829>53990011>54424002
鞋靴>时尚女鞋>单鞋,11729>11731>6914,天猫国际>女鞋>单鞋,52792006>55816013>55852025
鞋靴>时尚女鞋>单鞋,11729>11731>6914,时尚女鞋>国际潮牌>高跟单鞋,50025829>54012016>54318003
鞋靴>时尚女鞋>单鞋,11729>11731>6914,时尚女鞋>国际潮牌>鱼嘴单鞋,50025829>54012016>54328003
鞋靴>时尚女鞋>单鞋,11729>11731>6914,时尚女鞋>国内知名>圆头单鞋,50025829>53990011>54422004
鞋靴>时尚女鞋>单鞋,11729>11731>6914,时尚女鞋>国内知名>鱼嘴单鞋,50025829>53990011>54408005
鞋靴>时尚女鞋>单鞋,11729>11731>6914,时尚女鞋>国内知名>坡跟单鞋,50025829>53990011>54376006
鞋靴>时尚女鞋>单鞋,11729>11731>6914,导航平台>女士服饰>单鞋,50041194>52502003>52542002
鞋靴>时尚女鞋>单鞋,11729>11731>6914,导航平台>男士服饰>单鞋,50041194>52478004>52588004
鞋靴>时尚女鞋>单鞋,11729>11731>6914,导航平台>中老年女士服饰>单鞋,50041194>52062001>52530010
鞋靴>时尚女鞋>单鞋,11729>11731>6914,女鞋>小码女鞋>小码单鞋,50006843>51048014>51040012
鞋靴>时尚女鞋>单鞋,11729>11731>6914,女鞋>大码女鞋>大码单鞋,50006843>51034016>51036019
鞋靴>时尚女鞋>单鞋,11729>11731>6914,导航平台>中老年女士服饰>真皮鞋/靴,50041194>52062001>52584010
家居家纺>家装软饰>装饰字画,1620>11158>11163,家居饰品>装饰画>无框画挂钟,50065206>50103150>50103154
服饰内衣>女装>短外套,1315>1343>9712,天猫国际>女装>短外套,52792006>55898015>55868015
服饰内衣>女装>短外套,1315>1343>9712,品牌女装>短外套>潮流短外套,50025135>50025789>52316006
服饰内衣>女装>短外套,1315>1343>9712,品牌女装>短外套>牛仔短外套,50025135>50025789>54700002
服饰内衣>女装>短外套,1315>1343>9712,品牌女装>2016当季新品>短外套,50025135>51260020>51256009
服饰内衣>女装>短外套,1315>1343>9712,品牌女装>短外套>商场同款,50025135>50025789>54716004
服饰内衣>女装>短外套,1315>1343>9712,品牌女装>短外套>2016新品,50025135>50025789>52318006
服饰内衣>女装>短外套,1315>1343>9712,品牌女装>商场同款>专柜短外套,50025135>53596001>53616001
服饰内衣>女装>短外套,1315>1343>9712,品牌女装>毛呢外套>2016新品,50025135>52040006>52272017
服饰内衣>女装>短外套,1315>1343>9712,品牌女装>毛衣>毛衣外套,50025135>50025784>54720005
厨具>水具酒具>保温杯,6196>6219>6223,厨房/餐饮用具>杯子/水杯>保温杯,50036640>50026016>50026302
厨具>水具酒具>保温杯,6196>6219>6223,全球家居>厨房餐饮具>保温杯,56846007>56834012>56838015
厨具>水具酒具>保温杯,6196>6219>6223,餐饮具>杯子/水壶>保温杯,55086007>55176010>55814001
厨具>水具酒具>保温杯,6196>6219>6223,厨房/餐饮用具导航条>保温杯行业导购条>大众品牌,50632007>50654002>50646004
厨具>水具酒具>保温杯,6196>6219>6223,厨房/餐饮用具导航条>保温杯行业导购条>国际知名品牌,50632007>50654002>50650006
厨具>水具酒具>保温杯,6196>6219>6223,厨房/餐饮用具导航条>保温杯行业导购条>国内知名品牌,50632007>50654002>50648006
鞋靴>流行男鞋>雨鞋/雨靴,11729>11730>9782,天猫国际>男鞋>雨鞋,52792006>55816014>55852026
服饰内衣>女装>牛仔裤,1315>1343>9715,运动服>运动牛仔裤>女子运动牛仔裤,50020894>50101399>53184010
服饰内衣>女装>牛仔裤,1315>1343>9715,天猫国际>女装>牛仔裤,52792006>55898015>55874019
服饰内衣>女装>牛仔裤,1315>1343>9715,品牌女装>牛仔裤>女士牛仔裤,50025135>50025227>52336003
服饰内衣>女装>牛仔裤,1315>1343>9715,品牌女装>牛仔裤>背带牛仔裤,50025135>50025227>52262008
服饰内衣>女装>牛仔裤,1315>1343>9715,品牌女装>牛仔裤>哈伦牛仔裤,50025135>50025227>52290008
服饰内衣>女装>牛仔裤,1315>1343>9715,品牌女装>牛仔裤>七分牛仔裤,50025135>50025227>52288007
服饰内衣>女装>牛仔裤,1315>1343>9715,品牌女装>牛仔裤>微喇牛仔裤,50025135>50025227>52268007
服饰内衣>女装>牛仔裤,1315>1343>9715,品牌女装>牛仔裤>阔脚牛仔裤,50025135>50025227>52300010
服饰内衣>女装>牛仔裤,1315>1343>9715,品牌女装>牛仔裤>九分牛仔裤,50025135>50025227>54196004
服饰内衣>女装>牛仔裤,1315>1343>9715,品牌女装>牛仔裤>直筒牛仔裤,50025135>50025227>52294008
服饰内衣>女装>牛仔裤,1315>1343>9715,品牌女装>牛仔裤>五分牛仔裤,50025135>50025227>52286009
服饰内衣>女装>牛仔裤,1315>1343>9715,品牌女装>牛仔裤>小脚牛仔裤,50025135>50025227>52270007
服饰内衣>女装>牛仔裤,1315>1343>9715,品牌女装>牛仔裤>牛仔热裤,50025135>50025227>52300009
服饰内衣>女装>牛仔裤,1315>1343>9715,品牌女装>牛仔裤>牛仔垮裤,50025135>50025227>52326005
服饰内衣>女装>牛仔裤,1315>1343>9715,运动服/休闲服>女装>牛仔裤(女),50016756>50404023>50452006
服饰内衣>女装>牛仔裤,1315>1343>9715,品牌女装>女裤>牛仔裤,50025135>54848002>54782007
服饰内衣>女装>牛仔裤,1315>1343>9715,品牌女装>牛仔裤>2016新品,50025135>50025227>53028003
服饰内衣>女装>牛仔裤,1315>1343>9715,品牌女装>2016当季新品>牛仔裤,50025135>51260020>51264010
服饰内衣>女装>牛仔裤,1315>1343>9715,导航平台>中老年女士服饰>牛仔裤,50041194>52062001>52490013
服饰内衣>女装>牛仔裤,1315>1343>9715,品牌女装>设计师原创品牌>原创牛仔裤,50025135>53330001>53346003
服饰内衣>女装>牛仔裤,1315>1343>9715,品牌女装>商场同款>专柜牛仔裤,50025135>53596001>53608001
服饰内衣>女装>牛仔裤,1315>1343>9715,女装/女士精品>高腰裤>高腰牛仔裤,16>51100006>51088008
服饰内衣>女装>牛仔裤,1315>1343>9715,女装/女士精品>阔腿裤>阔腿牛仔裤,16>50101674>51094004
